index,success,reason,run_num,regression
1,1,,1,1
2,1,,1,1
3,0,no manip,2,0
4,0,no manip,2,0
5,1,,3,-1
6,1,,3,1
7,1,,4,1
8,1,,4,1
9,1,,5,-1
10,1,,5,1
11,1,,6,1
12,1,,6,1
13,1,,7,-1
14,1,,7,-1
15,0,no manip,8,0
16,0,no manip,8,0
17,1,,9,1
18,1,,9,1
19,1,,10,1
20,1,,10,1
21,1,,11,1
22,1,,11,1
23,1,,12,1
24,1,,12,1
25,1,,13,1
26,1,,13,-1
27,0,no manip,14,0
28,0,no manip,14,0
29,1,,15,1
30,1,,15,1
31,0,no manip,16,0
32,0,no manip,16,0
33,1,,17,1
34,1,,17,-1
35,-1,no manip,18,0
36,0,no manip,18,0
37,1,,19,1
38,1,,19,1
39,1,,20,1
40,1,,20,-1
41,1,,21,1
42,1,,21,1
43,0,no manip,22,0
44,0,no manip,22,0
45,1,,23,1
46,1,,23,1
47,1,,24,1
48,1,,24,1
49,1,,25,1
50,1,,25,1
51,0,no manip,26,1
52,0,no manip,26,-1
53,0,no manip,27,0
54,0,no manip,27,0
55,1,,28,1
56,1,,28,1
57,1,,29,-1
58,1,,29,-1
59,0,no manip,30,0
60,0,no manip,30,0
61,1,,31,1
62,1,,31,1
63,1,,32,1
64,1,,32,1
65,1,,33,1
66,1,,33,1
67,0,no manip,34,0
68,0,no manip,34,0
69,1,,35,1
70,1,,35,1
71,1,,36,1
72,1,,36,1
73,1,,37,1
74,1,,37,1
75,1,,38,1
76,1,,38,1
77,1,,39,1
78,1,,39,1
79,1,,40,1
80,1,,40,1
81,1,,41,1
82,1,,41,1
83,1,,42,1
84,1,,42,1
85,1,,43,1
86,1,,43,-1
87,1,,44,1
88,1,,44,1
89,1,,45,1
90,1,,45,1
91,1,,46,1
92,1,,46,1
93,1,,47,1
94,1,,47,1
95,1,,48,1
96,1,,48,1
97,1,,49,1
98,1,,49,1
99,1,,50,-1
100,1,,50,-1
101,0,no marble,51,0
102,0,no marble,51,0
103,0,no manip,52,0
104,0,no manip,52,0
105,0,no manip,53,0
106,0,no manip,53,0
107,0,no manip,54,0
108,0,no manip,54,0
109,0,no marble,55,0
110,0,no marble,55,0
111,0,no manip,56,0
112,0,no manip,56,0
113,0,no marble,57,0
114,0,no marble,57,0
115,0,no marble,58,0
116,0,no marble,58,0
117,0,no marble,59,0
118,0,no marble,59,0
119,0,no marble,60,0
120,1,,60,1
121,1,,61,-1
122,1,,61,1
123,0,slip,62,0
124,0,no marble,62,0
125,1,,63,1
126,1,,63,1
127,1,,64,1
128,1,,64,1
129,1,,65,1
130,1,,65,1
131,1,,66,1
132,0,slip,66,-1
133,1,,67,1
134,1,,67,1
135,1,,68,1
136,1,,68,1
137,1,,69,1
138,1,,69,1
139,0,slip,70,0
140,0,slip,70,-1
141,1,,71,1
142,1,,71,1
143,1,,72,1
144,1,,72,1
145,1,,73,1
146,1,,73,1
147,1,,74,1
148,1,,74,1
149,1,,75,1
150,1,,75,1
151,1,,76,1
152,1,,76,1
153,0,slip,77,0
154,0,no marble,77,0
155,0,no marble,78,0
156,0,no marble,78,0
157,0,no manip,79,0
158,0,no manip,79,0
159,1,,80,-1
160,1,,80,1
161,1,,81,1
162,1,,81,-1
163,1,,82,1
164,1,,82,1
165,1,,83,1
166,1,,83,1
167,1,,84,1
168,1,,84,1
169,1,,85,1
170,1,,85,1
171,0,no manip,86,0
172,0,no manip,86,0
173,0,no manip,87,0
174,0,no manip,87,0
175,1,,88,1
176,1,,88,-1
177,1,,89,1
178,1,,89,1
179,1,,90,1
180,0,slip,90,0
181,1,,91,1
182,0,slip,91,0
183,0,no manip,92,0
184,0,no manip,92,0
185,1,,93,1
186,1,,93,1
187,0,no manip,94,0
188,0,no manip,94,0
189,0,no manip,95,0
190,0,no manip,95,0
191,0,no manip,96,0
192,0,no manip,96,0
193,1,,97,1
194,1,,97,1
195,0,no manip,98,0
196,0,no manip,98,0
197,0,no manip,99,0
198,0,no manip,99,0
199,1,,100,-1
200,1,,100,-1
201,1,,101,1
202,1,,101,1
203,1,,102,1
204,1,,102,1
205,1,,103,1
206,1,,103,1
207,1,,104,1
208,1,,104,1
209,1,,105,1
210,1,,105,1
211,0,no manip,106,0
212,0,no manip,106,0
213,1,,107,1
214,0,slip,107,0
215,0,no manip,108,0
216,0,no manip,108,0
217,0,no manip,109,0
218,0,no manip,109,0
219,0,no manip,110,0
220,0,no manip,110,0
221,0,no marble,111,0
222,0,no marble,111,0
223,0,no marble,112,0
224,0,no marble,112,0
225,0,no marble,113,0
226,0,no marble,113,0
227,0,no marble,114,0
228,0,no marble,114,0
229,0,no marble,115,0
230,0,no marble,115,0
231,0,slip,116,0
232,0,no object,116,0
233,0,slip,117,0
234,0,no object,117,0
235,0,slip,118,0
236,0,no marble,118,0
237,0,no manip,119,0
238,0,no manip,119,0
239,0,slip,120,0
240,0,no marble,120,0
